node_i,node_j,p_value
DrivQuality,SeniorTrain,5.761609861328572e-10
DrivQuality,Theft,0.19570986022327674
DrivQuality,ThisCarCost,0.07298189496989939
DrivingSkill,Airbag,0.08671257049239514
DrivingSkill,AntiTheft,0.23362332229259156
DrivingSkill,CarValue,0.1576539238483726
DrivingSkill,Cushioning,0.158969643302677
DrivingSkill,DrivHist,6.653813696901646e-246
DrivingSkill,HomeBase,0.7980543508802326
DrivingSkill,ILiCost,0.7579156395184362
DrivingSkill,MedCost,0.3406179385536302
DrivingSkill,OtherCar,0.8376950457143865
DrivingSkill,OtherCarCost,0.19648731014565962
DrivingSkill,PropCost,0.23649200678233784
DrivingSkill,SeniorTrain,0.013926550120731764
DrivingSkill,Theft,0.1806374225207821
DrivingSkill,ThisCarCost,0.05061897294030565
GoodStudent,Accident,0.18070564266389455
GoodStudent,Age,2.5983285784830666e-171
GoodStudent,Airbag,0.13744534067780137
GoodStudent,AntiTheft,0.9359223824967949
GoodStudent,Antilock,0.6705189069872572
GoodStudent,CarValue,0.16233337477628745
GoodStudent,Cushioning,0.053767837767657145
GoodStudent,DrivHist,0.6273290881049123
GoodStudent,DrivQuality,0.08312668330763873
GoodStudent,DrivingSkill,0.14801257431142686
GoodStudent,HomeBase,0.13321361648484528
GoodStudent,ILiCost,0.37886540290063303
GoodStudent,MakeModel,0.11668015601890414
GoodStudent,MedCost,0.05785916608711909
GoodStudent,Mileage,0.8455422178068018
GoodStudent,OtherCar,0.07582498520695777
GoodStudent,OtherCarCost,0.2250898814775348
GoodStudent,PropCost,0.06900913572304833
GoodStudent,RiskAversion,0.14677996641419214
GoodStudent,RuggedAuto,0.13726607358662185
GoodStudent,SeniorTrain,0.06151714394634896
GoodStudent,SocioEcon,2.559654437997588e-19
GoodStudent,Theft,0.18638910031092987
GoodStudent,ThisCarCost,0.14474934898547698
GoodStudent,ThisCarDam,0.6969097109499427
GoodStudent,VehicleYear,0.14853744687206927
HomeBase,Airbag,0.32150528608674356
HomeBase,AntiTheft,0.0010561703029272303
HomeBase,Cushioning,0.7709752283842451
HomeBase,DrivHist,0.8051671491312532
HomeBase,ILiCost,0.379339886802517
HomeBase,MedCost,0.06984038846734539
HomeBase,OtherCar,0.37493892176490684
HomeBase,OtherCarCost,0.15966214571168313
HomeBase,PropCost,0.5462749569246006
ILiCost,DrivHist,0.8642950551666153
MakeModel,Airbag,3.475636956816964e-09
MakeModel,AntiTheft,0.9251958789782705
MakeModel,Antilock,3.24353828806693e-57
MakeModel,CarValue,3.8855223155695674e-86
MakeModel,Cushioning,0.99946578957733
MakeModel,DrivHist,0.43721262359263746
MakeModel,DrivQuality,0.12954636268671313
MakeModel,DrivingSkill,0.06467547039945691
MakeModel,HomeBase,0.13278903402213832
MakeModel,ILiCost,0.39818219318896414
MakeModel,MedCost,0.10006075536808998
MakeModel,Mileage,0.8864248063500794
MakeModel,OtherCar,0.08329192917232132
MakeModel,OtherCarCost,0.11235746168935183
MakeModel,PropCost,0.9795914399243618
MakeModel,SeniorTrain,0.07145318882331661
MakeModel,Theft,0.09966850736724202
MakeModel,ThisCarCost,0.9350605029584882
MedCost,Airbag,0.335058123970301
MedCost,Cushioning,7.884632776637053e-79
MedCost,DrivHist,0.3063333850083581
MedCost,ILiCost,0.07543676387342968
Mileage,Airbag,0.3028599007621376
Mileage,AntiTheft,0.12516893062198864
Mileage,Antilock,0.11716737260580018
Mileage,CarValue,1.4888435354808448e-61
Mileage,Cushioning,0.6002409257253072
Mileage,DrivHist,0.41510827294109975
Mileage,DrivingSkill,0.9653884389515229
Mileage,HomeBase,0.29808361368426944
Mileage,ILiCost,0.9278941089585296
Mileage,MedCost,0.0509448363148859
Mileage,OtherCar,0.7960728720976991
Mileage,OtherCarCost,0.5965804854203032
Mileage,PropCost,0.2808619538527707
Mileage,SeniorTrain,0.22710606065525443
Mileage,Theft,0.8503912033655915
Mileage,ThisCarCost,0.15100206278610379
OtherCar,Airbag,0.8378944026987737
OtherCar,Cushioning,0.6412627961467681
OtherCar,DrivHist,0.06615198271861766
OtherCar,ILiCost,0.921012360122196
OtherCar,MedCost,0.8044224984647068
OtherCarCost,Airbag,0.22300398761821152
OtherCarCost,Cushioning,0.6940155520075136
OtherCarCost,DrivHist,0.3846571633309313
OtherCarCost,ILiCost,0.07206399166652673
OtherCarCost,MedCost,0.1244764790732986
OtherCarCost,OtherCar,0.28764538497173026
PropCost,Airbag,0.1149015695012865
PropCost,Cushioning,0.5968664976206141
PropCost,DrivHist,0.6408859428843467
PropCost,ILiCost,0.6879932999794708
PropCost,MedCost,0.05869961797213539
PropCost,OtherCar,0.1439460101939358
PropCost,OtherCarCost,0.0
RiskAversion,Accident,0.45110423636359576
RiskAversion,Airbag,0.2998825118850665
RiskAversion,AntiTheft,0.0
RiskAversion,Antilock,0.21783036286750315
